other_id,recipient_name,incumbent,recipient_party,recipient_type,recipient_state,date,amount
C00476192,"HOOSIERS FOR ROKITA, INC.",TRUE,REP,candidate,IN,4/18/13,5000
C00504522,HUDSON FOR CONGRESS,TRUE,REP,candidate,NC,4/19/13,5000
C00506048,TOM RICE FOR CONGRESS,TRUE,REP,candidate,SC,4/19/13,5000
C00502039,COLLINS FOR CONGRESS,TRUE,REP,candidate,GA,4/23/13,5000
C00499236,GEORGE HOLDING FOR CONGRESS INC.,TRUE,REP,candidate,NC,4/30/13,5000
C00496760,AMODEI FOR NEVADA,TRUE,REP,candidate,NV,5/3/13,5000
C00509422,DOUG LAMALFA COMMITTEE,TRUE,REP,candidate,CA,5/3/13,5000
C00502229,WEBER FOR CONGRESS,TRUE,REP,candidate,TX,5/3/13,5000
C00477984,CHRIS GIBSON FOR CONGRESS,TRUE,REP,candidate,NY,5/9/13,5000
C00497180,COFFMAN FOR CONGRESS,TRUE,REP,candidate,CO,5/9/13,5000
C00473272,DENHAM FOR CONGRESS,TRUE,REP,candidate,CA,5/9/13,5000
C00473272,DENHAM FOR CONGRESS,TRUE,REP,candidate,CA,5/9/13,5000
C00502393,FRIENDS OF JIM BRIDENSTINE INC,TRUE,REP,candidate,OK,5/9/13,5000
C00502393,FRIENDS OF JIM BRIDENSTINE INC,TRUE,REP,candidate,OK,5/9/13,5000
C00468421,FRIENDS OF JOE HECK,TRUE,REP,candidate,NV,5/9/13,5000
C00510768,FRIENDS OF TREY RADEL,TRUE,REP,candidate,FL,5/9/13,5000
C00466516,GIBBS FOR CONGRESS,TRUE,REP,candidate,OH,5/9/13,5000
C00466516,GIBBS FOR CONGRESS,TRUE,REP,candidate,OH,5/9/13,5000
C00433730,LYNN JENKINS FOR CONGRESS,TRUE,REP,candidate,KS,5/9/13,5000
C00311043,BRADY FOR CONGRESS,TRUE,REP,candidate,TX,5/14/13,5000
C00311043,BRADY FOR CONGRESS,TRUE,REP,candidate,TX,5/14/13,5000
C00473736,ELECT BLAKE FARENTHOLD COMMITTEE,TRUE,REP,candidate,TX,5/14/13,5000
C00463687,SCOTT RIGELL FOR CONGRESS,TRUE,REP,candidate,VA,5/14/13,5000
C00433060,TUESDAY GROUP POLITICAL ACTION COMMITTEE,,REP,pac,,5/17/13,5000
C00327189,VALUE IN ELECTING WOMEN POLITICAL ACTION COMMITTEE,,REP,pac,,5/17/13,5000
C00482737,AUSTIN SCOTT FOR CONGRESS INC,TRUE,REP,candidate,GA,5/21/13,5000
C00461822,"CHUCK FLEISCHMANN FOR CONGRESS COMMITTEE, INC.",TRUE,REP,candidate,TN,5/21/13,5000
C00445015,FLEMING FOR CONGRESS,TRUE,REP,candidate,LA,5/21/13,5000
C00514513,PITTENGER FOR CONGRESS LLC,TRUE,REP,candidate,NC,5/21/13,5000
C00468116,RE-ELECT TIM GRIFFIN FOR CONGRESS COMMITTEE,TRUE,REP,candidate,AR,5/21/13,5000
C00482737,AUSTIN SCOTT FOR CONGRESS INC,TRUE,REP,candidate,GA,5/24/13,5000
C00260547,BACHUS FOR CONGRESS COMMITTEE,TRUE,REP,candidate,AL,5/31/13,5000
C00370650,FRIENDS OF JEB HENSARLING,TRUE,REP,candidate,TX,5/31/13,5000
C00460550,JEFF DUNCAN FOR CONGRESS,TRUE,REP,candidate,SC,5/31/13,5000
C00393629,MCHENRY FOR CONGRESS,TRUE,REP,candidate,NC,5/31/13,5000
C00471896,RENEE ELLMERS FOR CONGRESS COMMITTEE,TRUE,REP,candidate,NC,5/31/13,5000
C00386110,SCOTT GARRETT FOR CONGRESS,TRUE,REP,candidate,NJ,5/31/13,5000
C00497818,WENSTRUP FOR CONGRESS,TRUE,REP,candidate,OH,5/31/13,5000
C00466870,PAT MEEHAN FOR CONGRESS,TRUE,REP,candidate,PA,6/4/13,5000
C00441352,STIVERS FOR CONGRESS,TRUE,REP,candidate,OH,6/4/13,5000
C00495846,ANN WAGNER FOR CONGRESS,TRUE,REP,candidate,MO,6/7/13,5000
C00464339,DUFFY FOR CONGRESS,TRUE,REP,candidate,WI,6/7/13,5000
C00433524,DUNCAN D. HUNTER FOR CONGRESS,TRUE,REP,candidate,CA,6/7/13,5000
C00466870,PAT MEEHAN FOR CONGRESS,TRUE,REP,candidate,PA,6/7/13,5000
C00491357,STEVE DAINES FOR MONTANA,TRUE,REP,candidate,MT,6/7/13,5000
C00464032,TOM REED FOR CONGRESS,TRUE,REP,candidate,NY,6/7/13,5000
C00470757,VOTETIPTON.COM,TRUE,REP,candidate,CO,6/7/13,5000
C00470807,MICHAEL GRIMM FOR CONGRESS,TRUE,REP,candidate,NY,6/10/13,5000
C00257337,KEN CALVERT FOR CONGRESS COMMITTEE,TRUE,REP,candidate,CA,6/11/13,5000
C00435974,ANDY HARRIS FOR CONGRESS,TRUE,REP,candidate,MD,6/13/13,5000
C00472241,BILL FLORES FOR CONGRESS,TRUE,REP,candidate,TX,6/13/13,5000
C00468256,BUCSHON FOR CONGRESS,TRUE,REP,candidate,IN,6/13/13,5000
C00386847,CHARLIE DENT FOR CONGRESS,TRUE,REP,candidate,PA,6/13/13,5000
C00379735,COLE FOR CONGRESS,TRUE,REP,candidate,OK,6/13/13,5000
C00383828,CONAWAY FOR CONGRESS,TRUE,REP,candidate,TX,6/13/13,5000
C00462374,CRAWFORD FOR CONGRESS,TRUE,REP,candidate,AR,6/13/13,5000
C00518241,FRIENDS OF CONGRESSMAN STEVE STOCKMAN,TRUE,REP,candidate,TX,6/13/13,5000
C00459461,FRIENDS OF DENNIS ROSS,TRUE,REP,candidate,FL,6/13/13,5000
C00439661,FRIENDS OF ERIK PAULSEN,TRUE,REP,candidate,MN,6/13/13,5000
C00444620,FRIENDS OF GLENN THOMPSON,TRUE,REP,candidate,PA,6/13/13,5000
C00431684,FRIENDS OF JASON CHAFFETZ,TRUE,REP,candidate,UT,6/13/13,5000
C00482281,FRIENDS OF RICH NUGENT,TRUE,REP,candidate,FL,6/13/13,5000
C00250720,FRIENDS OF SAM JOHNSON,TRUE,REP,candidate,TX,6/13/13,5000
C00459297,HUIZENGA FOR CONGRESS,TRUE,REP,candidate,MI,6/13/13,5000
C00376004,LOU BARLETTA FOR CONGRESS 2002,TRUE,REP,candidate,PA,6/13/13,5000
C00460667,LUKE MESSER FOR CONGRESS,TRUE,REP,candidate,IN,6/13/13,5000
C00462143,MARTHA ROBY FOR CONGRESS,TRUE,REP,candidate,AL,6/13/13,5000
C00474189,MIKE KELLY FOR CONGRESS,TRUE,REP,candidate,PA,6/13/13,5000
C00367862,MIKE ROGERS FOR CONGRESS,TRUE,REP,candidate,AL,6/13/13,5000
C00471292,MULVANEY FOR CONGRESS,TRUE,REP,candidate,SC,6/13/13,5000
C00464487,NUNNELEE FOR CONGRESS,TRUE,REP,candidate,MS,6/13/13,5000
C00461806,PAUL GOSAR FOR CONGRESS,TRUE,REP,candidate,AZ,6/13/13,5000
C00468405,ROBERT HURT FOR CONGRESS,TRUE,REP,candidate,VA,6/13/13,5000
C00498121,ROGER WILLIAMS FOR U S CONGRESS COMMITTEE,TRUE,REP,candidate,TX,6/13/13,5000
C00484683,STUTZMAN FOR CONGRESS,TRUE,REP,candidate,IN,6/13/13,5000
C00494583,TED YOHO FOR CONGRESS,TRUE,REP,candidate,FL,6/13/13,5000
C00494583,TED YOHO FOR CONGRESS,TRUE,REP,candidate,FL,6/13/13,5000
C00506048,TOM RICE FOR CONGRESS,TRUE,REP,candidate,SC,6/13/13,5000
C00462523,TREY GOWDY FOR CONGRESS,TRUE,REP,candidate,SC,6/13/13,5000
C00497818,WENSTRUP FOR CONGRESS,TRUE,REP,candidate,OH,6/13/13,5000
C00477745,WOMACK FOR CONGRESS COMMITTEE,TRUE,REP,candidate,AR,6/13/13,5000
C00481911,DANIEL WEBSTER FOR CONGRESS,TRUE,REP,candidate,FL,6/14/13,5000
C00543165,STRICKLAND FOR CONGRESS,TRUE,REP,candidate,CA,6/14/13,5000
C00543165,STRICKLAND FOR CONGRESS,TRUE,REP,candidate,CA,6/14/13,5000
C00445015,FLEMING FOR CONGRESS,TRUE,REP,candidate,LA,6/18/13,5000
C00269340,LOBIONDO FOR CONGRESS,TRUE,REP,candidate,NJ,6/18/13,5000
C00364935,BILL SHUSTER FOR CONGRESS,TRUE,REP,candidate,PA,6/21/13,5000
C00545384,CARL DEMAIO FOR CONGRESS,,REP,candidate,CA,6/21/13,5000
C00545384,CARL DEMAIO FOR CONGRESS,,REP,candidate,CA,6/21/13,5000
C00492454,GARDNER FOR CONGRESS,TRUE,REP,candidate,CO,6/21/13,5000
C00528414,HEALTHCARE FREEDOM FUND,,REP,pac,,6/21/13,5000
C00522425,JET PAC,,REP,pac,,6/21/13,5000
C00458877,KINZINGER FOR CONGRESS,TRUE,REP,candidate,IL,6/21/13,5000
C00503094,MEADOWS FOR CONGRESS,TRUE,REP,candidate,NC,6/21/13,5000
C00497115,ROTHFUS FOR CONGRESS,TRUE,REP,candidate,PA,6/26/13,5000
C00466482,FAMILIES FOR JAMES LANKFORD,TRUE,REP,candidate,OK,7/10/13,5000
C00439661,FRIENDS OF ERIK PAULSEN,TRUE,REP,candidate,MN,7/10/13,5000
C00393629,MCHENRY FOR CONGRESS,TRUE,REP,candidate,NC,7/10/13,5000
C00540187,MORE CONSERVATIVES PAC (MCPAC),,REP,pac,,7/10/13,5000
C00027466,NATIONAL REPUBLICAN SENATORIAL COMMITTEE,,REP,party,,7/10/13,15000
C00510164,PATRIOTS FOR PERRY,TRUE,REP,candidate,PA,7/10/13,5000
C00359034,GRAVES FOR CONGRESS,TRUE,REP,candidate,MO,7/12/13,5000
C00541862,JASON SMITH FOR CONGRESS,TRUE,REP,candidate,MO,7/12/13,5000
C00531764,ANN PAC,,REP,pac,,7/16/13,5000
C00488155,CONSERVATIVE AMERICAN NETWORK DELIVERING INCREASED CONGRESSIONAL EXCELLENCE (CANDICE-PAC),,REP,pac,,7/16/13,5000
C00409185,"GOOD FUND, THE",,REP,pac,,7/16/13,5000
C00504035,KERRY BENTIVOLIO FOR US CONGRESS,TRUE,REP,candidate,MI,7/16/13,5000
C00498345,MULLIN FOR CONGRESS,TRUE,REP,candidate,OK,7/16/13,5000
C00440727,DAVID SCHWEIKERT FOR CONGRESS,TRUE,REP,candidate,AZ,7/19/13,5000
C00472878,DIANE BLACK FOR CONGRESS,TRUE,REP,candidate,TN,7/19/13,5000
C00506931,"FRIENDS FOR CHRIS STEWART, INC.",TRUE,REP,candidate,UT,7/19/13,5000
C00376939,"MARSHA BLACKBURN FOR CONGRESS, INC.",TRUE,REP,candidate,TN,7/19/13,5000
C00390724,WALBERG FOR CONGRESS,TRUE,REP,candidate,MI,7/19/13,5000
C00390724,WALBERG FOR CONGRESS,TRUE,REP,candidate,MI,7/19/13,5000
C00444968,FRIENDS OF BILL POSEY,TRUE,REP,candidate,FL,7/22/13,5000
C00444968,FRIENDS OF BILL POSEY,TRUE,REP,candidate,FL,7/22/13,5000
C00481911,DANIEL WEBSTER FOR CONGRESS,TRUE,REP,candidate,FL,7/29/13,5000
C00441352,STIVERS FOR CONGRESS,TRUE,REP,candidate,OH,7/29/13,5000
C00390476,CATHY MCMORRIS RODGERS FOR CONGRESS,TRUE,REP,candidate,WA,8/5/13,5000
C00397737,FRIENDS OF DAVE REICHERT,TRUE,REP,candidate,WA,8/5/13,5000
C00548107,NEIL RISER CAMPAIGN INC,,REP,candidate,FL,8/16/13,5000
C00504704,CRAMER FOR CONGRESS,TRUE,REP,candidate,ND,8/20/13,5000
C00472704,JAIME FOR CONGRESS,TRUE,REP,candidate,WA,8/20/13,5000
C00287912,LUCAS FOR CONGRESS,TRUE,REP,candidate,OK,8/20/13,5000
C00460402,POMPEO FOR CONGRESS INC,TRUE,REP,candidate,KS,8/20/13,5000
C00437913,OLSON FOR CONGRESS COMMITTEE,TRUE,REP,candidate,TX,8/27/13,5000
C00468256,BUCSHON FOR CONGRESS,TRUE,REP,candidate,IN,9/6/13,5000
C00498121,ROGER WILLIAMS FOR U S CONGRESS COMMITTEE,TRUE,REP,candidate,TX,9/6/13,5000
C00511568,RON DESANTIS FOR CONGRESS,TRUE,REP,candidate,FL,9/6/13,5000
C00410969,ROSKAM FOR CONGRESS COMMITTEE,TRUE,REP,candidate,IL,9/6/13,5000
C00410969,ROSKAM FOR CONGRESS COMMITTEE,TRUE,REP,candidate,IL,9/6/13,5000
C00476325,"BENISHEK FOR CONGRESS, INC.",TRUE,REP,candidate,MI,9/10/13,5000
C00476325,"BENISHEK FOR CONGRESS, INC.",TRUE,REP,candidate,MI,9/10/13,5000
C00258244,BUCK MCKEON FOR CONGRESS,TRUE,REP,candidate,CA,9/10/13,5000
C00331496,GARY MILLER FOR CONGRESS,TRUE,REP,candidate,CA,9/10/13,5000
C00331496,GARY MILLER FOR CONGRESS,TRUE,REP,candidate,CA,9/10/13,5000
C00287045,IOWANS FOR LATHAM,TRUE,REP,candidate,IA,9/10/13,5000
C00287045,IOWANS FOR LATHAM,TRUE,REP,candidate,IA,9/10/13,5000
C00476820,JOHNSON FOR CONGRESS,TRUE,REP,candidate,OH,9/10/13,5000
C00476820,JOHNSON FOR CONGRESS,TRUE,REP,candidate,OH,9/10/13,5000
C00330811,LEE TERRY FOR CONGRESS,TRUE,REP,candidate,NE,9/10/13,5000
C00330811,LEE TERRY FOR CONGRESS,TRUE,REP,candidate,NE,9/10/13,5000
C00376087,MARIO DIAZ-BALART FOR CONGRESS,TRUE,REP,candidate,FL,9/10/13,5000
C00497305,YOPAC,,REP,pac,,9/10/13,5000
C00458877,KINZINGER FOR CONGRESS,TRUE,REP,candidate,IL,9/13/13,5000
C00531590,PATRIOTS IN ACTION,,REP,pac,,9/13/13,5000
